No,Title,Full Name,First Name,Last Name,Party,Profession,Birthplace,Marital Status,Constituency,Constituency Info,Profile URL,Homepage,Facebook,Instagram,TikTok,X,Mastodon,YouTube,Bluesky,LinkedIn,Threads,Telegram,Youtube,Gettr,Odyssee,Rumble,Xing,Twitch,WhatsApp,Tiktok,Linkedin,TiKTOK,LindedIn,Blog,Spotify,BlueSky,https://,Instgagram,Theads,Instgram,Telegramm,homepage
1,,Sanae Abdi,Sanae,Abdi,SPD,Vertrags- und Finanzmanagerin,"Tetouan, Marokko; ledig.",ledig,Nordrhein-Westfalen,Wahlkreis 092: Köln I,https://www.bundestag.de/abgeordnete/biografien/A/abdi_sanae-1043330,https://www.sanaeabdi.de,https://www.facebook.com/sanaeabdispd,https://www.instagram.com/sanae_ccaa/,https://www.tiktok.com/discover/sanae-abdi,https://twitter.com/_sanaeabdi,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Jan van Aken,Jan van,Aken,Die Linke,Biologe,Reinbek.,geschieden,Hamburg,,https://www.bundestag.de/abgeordnete/biografien/A/aken_jan-1043380,https://jan-van-aken.com/,,https://www.instagram.com/jan.aken/,,,https://mastodon.social/@vanaken,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Knut Abraham,Knut,Abraham,CDU/CSU,Diplomat,Hamburg; evangelisch-lutherisch; verheiratet; fünf Kinder.,verheiratet,Brandenburg,Wahlkreis 065: Elbe-Elster – Oberspreewald-Lausitz,https://www.bundestag.de/abgeordnete/biografien/A/abraham_knut-1043342,https://Knut-Abraham.de,https://facebook.com/knut.abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Tarek Al-Wazir,Tarek,Al-Wazir,Bündnis 90/Die Grünen,Diplom-Politologe,Offenbach am Main; verheiratet; zwei Kinder.,verheiratet,Hessen,Wahlkreis 184: Offenbach,https://www.bundestag.de/abgeordnete/biografien/A/al_wazir_tarek-1043422,https://www.al-wazir.de,https://www.facebook.com/tarekalwazir.gruene,https://www.instagram.com/tarekalwazir,,https://www.x.com/talwazir,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Doris Achelwilm,Doris,Achelwilm,Die Linke,Angestellte,Thuine.,geschieden,Bremen,Wahlkreis 054: Bremen I,https://www.bundestag.de/abgeordnete/biografien/A/achelwilm_doris-1043346,https://www.doris-achelwilm.de,https://www.facebook.com/doris.achelwilm.dielinke/,https://www.instagram.com/doris_achelwilm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Reem Alabali-Radovan,Reem,Alabali-Radovan,SPD,Politikwissenschaftlerin,"Moskau, Russland; verheiratet.",verheiratet,Mecklenburg-Vorpommern,Wahlkreis 012: Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,https://www.bundestag.de/abgeordnete/biografien/A/alabali_radovan_reem-1043386,https://reem-alabali-radovan.de/,https://www.facebook.com/reem.alabaliradovan,https://www.instagram.com/reem.alabaliradovan/,,https://twitter.com/ReemAlabali,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Anna Aeikens,Anna,Aeikens,CDU/CSU,selbständige Agrarökonomin,Magdeburg; evangelisch; ledig.,ledig,Sachsen-Anhalt,Wahlkreis 067: Börde – Salzlandkreis,https://www.bundestag.de/abgeordnete/biografien/A/aeikens_anna-1043358,https://www.anna-aeikens.de,https://www.facebook.com/anna.aeikens/,https://www.instagram.com/anna_aeikens/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Stephan Albani,Stephan,Albani,CDU/CSU,Diplom-Physiker,Göttingen; evangelisch-lutherisch; verheiratet; drei Kinder.,verheiratet,Niedersachsen,Wahlkreis 027: Oldenburg – Ammerland,https://www.bundestag.de/abgeordnete/biografien/A/albani_stephan-1043390,http://www.stephan-albani.de,https://www.facebook.com/StephanAlbaniMdB,https://www.instagram.com/stephanalbanimdb/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Adis Ahmetović,Adis,Ahmetović,SPD,,Hannover; ledig.,ledig,Niedersachsen,Wahlkreis 041: Stadt Hannover I,https://www.bundestag.de/abgeordnete/biografien/A/ahmetovic_adis-1043370,http://www.adis-ahmetovic.de,http://www.facebook.de/AdisAhmetovic.SPD,http://www.instagram.de/adis.a93,https://www.tiktok.com/discover/adis-ahmetovic-hannover,,,https://www.youtube.com/@adis.a93,,,,,,,,,,,,,,,,,,,,,,,,
10,Dr.,Alaa Alhamwi,Alaa,Alhamwi,Bündnis 90/Die Grünen,Wissenschaftler,Damaskus (Syrien).,geschieden,Niedersachsen,Wahlkreis 027: Oldenburg – Ammerland,https://www.bundestag.de/abgeordnete/biografien/A/alhamwi_alaa-1043402,https://alaa-alhamwi.de/,,https://www.instagram.com/dr.alaa.alhamwi/,https://www.tiktok.com/@alhamwi.alaa,,,http://www.youtube.com/@Dr.AlaaAlhamwi,https://bsky.app/profile/alaa-alhamwi.bsky.social,https://de.linkedin.com/in/dr-alaa-alhamwi-08006b9b,,,,,,,,,,,,,,,,,,,,,,
11,,Gökay Akbulut,Gökay,Akbulut,Die Linke,Sozialwissenschaftlerin,Pinarbaşi/ Türkei; ledig.,ledig,Baden-Württemberg,Wahlkreis 275: Mannheim,https://www.bundestag.de/abgeordnete/biografien/A/akbulut_goekay-1043376,https://goekay-akbulut.de/,https://www.facebook.com/gokay.akbulut.146,https://www.instagram.com/gokayakbulut_mdb_linke/?hl=de,,https://twitter.com/akbulutgokay?lang=de,,,,https://de.linkedin.com/in/g%C3%B6kay-akbulut-87b679200,,,,,,,,,,,,,,,,,,,,,,
12,,Norbert Maria Altenkamp,Norbert Maria,Altenkamp,CDU/CSU,Diplom-Volkswirt,Marl; römisch-katholisch; verheiratet; zwei Kinder.,verheiratet,Hessen,Wahlkreis 180: Main-Taunus,https://www.bundestag.de/abgeordnete/biografien/A/altenkamp_norbert-1043416,https://norbert-altenkamp.de/,https://www.facebook.com/altenkampmdb/,https://www.instagram.com/norbert.altenkamp/,,,,https://www.youtube.com/channel/ucb383hlvbcu0_aqtcvv25ma,,,,,,,,,,,,,,,,,,,,,,,,
13,,Philipp Amthor,Philipp,Amthor,CDU/CSU,Jurist,Ueckermünde; römisch-katholisch.,geschieden,Mecklenburg-Vorpommern,Wahlkreis 016: Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,https://www.bundestag.de/abgeordnete/biografien/A/amthor_philipp-1043428,https://www.philipp-amthor.de/,https://www.facebook.com/amthor.philipp/,https://www.instagram.com/philipp.amthor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Luise Amtsberg,Luise,Amtsberg,Bündnis 90/Die Grünen,,Greifswald; verheiratet; ein Kind.,verheiratet,Schleswig-Holstein,Wahlkreis 005: Kiel,https://www.bundestag.de/abgeordnete/biografien/A/amtsberg_luise-1043430,https://www.luise-amtsberg.de,https://de-de.facebook.com/LuiseAmtsberg/,https://www.instagram.com/amtsbergluise/?hl=de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dr.,Michael Arndt,Michael,Arndt,Die Linke,Arzt,Oberbexbach; evangelisch; verheiratet; zwei Kinder.,verheiratet,Saarland,Wahlkreis 299: Homburg,https://www.bundestag.de/abgeordnete/biografien/A/arndt_michael-1043446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Alexander Arpaschi,Alexander,Arpaschi,AfD,Diplom-Ingenieur Maschinenbau,Karlsruhe; ein Sohn.,geschieden,Baden-Württemberg,Wahlkreis 273: Rastatt,https://www.bundestag.de/abgeordnete/biografien/A/arpaschi_alexander-1043452,https://arpaschi.de,https://facebook.com/arpaschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Ayse Asar,Ayse,Asar,Bündnis 90/Die Grünen,Rechtsanwältin,Bad Schwalbach; verheiratet; zwei Kinder.,verheiratet,Hessen,Wahlkreis 177: Rheingau-Taunus – Limburg,https://www.bundestag.de/abgeordnete/biografien/A/asar_ayse-1043460,https://www.ayse-asar.de,,https://www.instagram.com/ayseasar__?igsh=MWdpeTY5bWxnbWxmbA%3D%3D&utm_source=qr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Tijen Ataoğlu,Tijen,Ataoğlu,CDU/CSU,Richterin,Wipperfürth; ledig.,ledig,Nordrhein-Westfalen,Wahlkreis 137: Hagen – Ennepe-Ruhr-Kreis I,https://www.bundestag.de/abgeordnete/biografien/A/ataoglu_tijen-1043470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Andreas Audretsch,Andreas,Audretsch,Bündnis 90/Die Grünen,,Stuttgart; ledig.,ledig,Berlin,Wahlkreis 081: Berlin-Neukölln,https://www.bundestag.de/abgeordnete/biografien/A/audretsch_andreas-1043476,https://www.andreasaudretsch.de,,https://www.instagram.com/andreasaudretsch,,https://twitter.com/anaudretsch,,,https://bsky.app/profile/andreasaudretsch.de,,https://www.threads.net/@andreasaudretsch,,,,,,,,,,,,,,,,,,,,,
20,,Artur Auernhammer,Artur,Auernhammer,CDU/CSU,,"Oberhochstatt, Stadt Weißenburg; evangelisch-lutherisch.",geschieden,Bayern,Wahlkreis 240: Ansbach,https://www.bundestag.de/abgeordnete/biografien/A/auernhammer_artur-1048348,https://www.artur-auernhammer.de/,https://www.facebook.com/AuernhammerMdB/,https://www.instagram.com/arturauernhammer/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Peter Aumer,Peter,Aumer,CDU/CSU,Diplom-Betriebswirt (FH),Regensburg; römisch-katholisch.,geschieden,Bayern,Wahlkreis 232: Regensburg,https://www.bundestag.de/abgeordnete/biografien/A/aumer_peter-1048350,https://peteraumer.de/,https://www.facebook.com/PeAumer/,https://www.instagram.com/pete_aum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dr.,Cornell-Anette Babendererde,Cornell-Anette,Babendererde,CDU/CSU,Historikerin,Neumünster; evangelisch-lutherisch; verheiratet.,verheiratet,Niedersachsen,Wahlkreis 036: Harburg,https://www.bundestag.de/abgeordnete/biografien/B/babendererde_cornell-1043496,https://www.cornell2025.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Carolin Bachmann,Carolin,Bachmann,AfD,,Freiberg/Sachsen; ledig; ein Kind.,ledig,Sachsen,Wahlkreis 160: Mittelsachsen,https://www.bundestag.de/abgeordnete/biografien/B/bachmann_carolin-1043502,https://www.carolinbachmann.de,https://www.facebook.com/CarolinBachmannAfD,https://www.instagram.com/carolin.bachmann/?hl=de,https://www.tiktok.com/@carolin_bachmann_mdb?lang=de-DE,,,,,,,https://t.me/CarolinBachmann,,,,,,,,,,,,,,,,,,,,
24,,Lisa Badum,Lisa,Badum,Bündnis 90/Die Grünen,,Forchheim; ledig.,ledig,Bayern,Wahlkreis 235: Bamberg,https://www.bundestag.de/abgeordnete/biografien/B/badum_lisa-1043506,https://www.lisa-badum.de/,https://www.facebook.com/BadumLisa/,https://www.instagram.com/badumlisa/?hl=de,,https://twitter.com/BadumLisa,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Dorothee Bär,Dorothee,Bär,CDU/CSU,Diplom-Politologin,Bamberg; römisch-katholisch; verheiratet; zwei Töchter und ein Sohn.,verheiratet,Bayern,Wahlkreis 247: Bad Kissingen,https://www.bundestag.de/abgeordnete/biografien/B/baer_dorothee-1043526,https://dorothee-baer.de/,,https://www.instagram.com/dorobaer/,https://www.tiktok.com/@dorobaer,https://x.com/DoroBaer,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Karl Bär,Karl,Bär,Bündnis 90/Die Grünen,Agrarökonom,Tegernsee; ledig; ein Kind.,ledig,Bayern,Wahlkreis 222: Bad Tölz-Wolfratshausen – Miesbach,https://www.bundestag.de/abgeordnete/biografien/B/baer_karl-1043528,https://www.karl-baer.eu,https://www.facebook.com/karlbaerbundestag,http://instagram.com/karl.baer,,https://twitter.com/karlbaer,,,,,https://www.threads.net/@karl.baer,,,,,,,,,,,,,,,,,,,,,
27,,Annalena Baerbock,Annalena,Baerbock,Bündnis 90/Die Grünen,Völkerrechtlerin,Hannover; evangelisch-lutherisch; verheiratet; zwei Kinder.,verheiratet,Brandenburg,Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,https://www.bundestag.de/abgeordnete/biografien/B/baerbock_annalena-1043508,https://www.annalena-baerbock.de,https://www.facebook.com/abaerbock/,https://www.instagram.com/abaerbock/,,https://www.twitter.com/@Abaerbock,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Daniel Baldy,Daniel,Baldy,SPD,Lehrer,Bingen am Rhein; römisch-katholisch; verheiratet.,verheiratet,Rheinland-Pfalz,Wahlkreis 204: Mainz,https://www.bundestag.de/abgeordnete/biografien/B/baldy_daniel-1043516,https://daniel-baldy.de/,https://www.facebook.com/baldy.spd,https://www.instagram.com/baldy.daniel/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Adam Balten,Adam,Balten,AfD,Mechatronik-Ingenieur,"Sosnowitz, Polen; verheiratet; zwei Kinder.",verheiratet,Nordrhein-Westfalen,Wahlkreis 112: Wesel I,https://www.bundestag.de/abgeordnete/biografien/B/balten_adam-1043518,https://www.adambalten.de/de,https://www.facebook.com/share/1edrlut5j4/,https://www.instagram.com/adam.balten/,https://www.tiktok.com/@adam.balten,https://x.com/adambalten,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Felix Banaszak,Felix,Banaszak,Bündnis 90/Die Grünen,,Duisburg; verheiratet; ein Kind.,verheiratet,Nordrhein-Westfalen,Wahlkreis 115: Duisburg II,https://www.bundestag.de/abgeordnete/biografien/B/banaszak_felix-1043522,https://www.felixbanaszak.de,https://www.facebook.com/felix.banaszak,https://www.instagram.com/fbanaszak,https://www.tiktok.com/@felixbanaszak,https://www.twitter.com/fbanaszak,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Thomas Bareiß,Thomas,Bareiß,CDU/CSU,Diplom-Betriebswirt,Albstadt-Ebingen; evangelisch; verheiratet.,verheiratet,Baden-Württemberg,Wahlkreis 295: Zollernalb – Sigmaringen,https://www.bundestag.de/abgeordnete/biografien/B/bareiss_thomas-1048368,http://www.thomas-bareiss.de,https://www.facebook.com/thomas.bareiss,https://www.instagram.com/thomasbareiss/,,,,,,https://www.linkedin.com/in/thomas-barei%C3%9F-781144240/,,,,,,,,,,,,,,,,,,,,,,
32,,Sören Bartol,Sören,Bartol,SPD,Diplom-Politikwissenschaftler,Hamburg; evangelisch; ledig.,ledig,Hessen,Wahlkreis 170: Marburg,https://www.bundestag.de/abgeordnete/biografien/B/bartol_soeren-1043546,http://www.bartol.de/,http://www.facebook.com/soerenbartol,http://www.instagram.com/soeren.bartol/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Dr.,Dietmar Bartsch,Dietmar,Bartsch,Die Linke,Wirtschaftswissenschaftler,Stralsund; geschieden; zwei Kinder.,geschieden,Mecklenburg-Vorpommern,Wahlkreis 014: Rostock – Landkreis Rostock II,https://www.bundestag.de/abgeordnete/biografien/B/bartsch_dietmar-1043548,https://www.dietmar-bartsch.de,https://facebook.com/dietmarbartschmdb,https://www.instagram.com/dietmarbartschmv/,https://www.tiktok.com/@dietmarbartsch,https://twitter.com/DietmarBartsch,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Bärbel Bas,Bärbel,Bas,SPD,Personalmanagement-Ökonomin (VWA),,geschieden,Nordrhein-Westfalen,Wahlkreis 114: Duisburg I,https://www.bundestag.de/abgeordnete/biografien/B/bas_baerbel-1043554,https://www.baerbelbas.de/,https://www.facebook.com/baerbel.bas,https://www.instagram.com/baerbelbas/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Marcel Bauer,Marcel,Bauer,Die Linke,Forstwirt,Mainburg; konfessionslos; verheiratet; ein Kind.,verheiratet,Baden-Württemberg,Wahlkreis 271: Karlsruhe-Stadt,https://www.bundestag.de/abgeordnete/biografien/B/bauer_marcel-1043562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Dr.,Christina Baum,Christina,Baum,AfD,Zahnärztin,Kleingrabe; evangelisch; verheiratet; ein Kind.,verheiratet,Sachsen-Anhalt,Wahlkreis 068: Harz,https://www.bundestag.de/abgeordnete/biografien/B/baum_christina-1048376,https://christina-baum.berlin/,https://www.facebook.com/Dr.Christina.Baum/,https://www.instagram.com/baum.christina/,,https://twitter.com/DrChristinaBaum,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Dr.,Bernd Baumann,Bernd,Baumann,AfD,Kaufmann,Wanne-Eickel; konfessionslos; verheiratet.,verheiratet,Hamburg,Wahlkreis 019: Hamburg-Altona,https://www.bundestag.de/abgeordnete/biografien/B/baumann_bernd-1043568,https://www.bernd-baumann.de/,https://www.facebook.com/DrBerndBaumann,https://www.instagram.com/drberndbaumann/,https://www.tiktok.com/@drberndbaumann,https://x.com/DrBerndBaumann,,,,,,https://t.me/drberndbaumann,https://www.youtube.com/@DrBerndBaumannMdB,,,,,,,,,,,,,,,,,,,
38,,Günter Baumgartner,Günter,Baumgartner,CDU/CSU,Bankbetriebswirt,Rotthalmünster; römisch-katholisch; verheiratet; drei Kinder.,verheiratet,Bayern,Wahlkreis 229: Rottal-Inn,https://www.bundestag.de/abgeordnete/biografien/B/baumgartner_guenter-1043570,https://www.guenterbaumgartner.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Katharina Beck,Katharina,Beck,Bündnis 90/Die Grünen,Unternehmensberaterin für Nachhaltigkeit,Düsseldorf; evangelisch; verheiratet; ein Kind.,verheiratet,Hamburg,Wahlkreis 021: Hamburg-Nord,https://www.bundestag.de/abgeordnete/biografien/B/beck_katharina-1043580,https://katharina-beck.de/,https://www.facebook.com/katharinabeck.gruene,https://www.instagram.com/katharina.beck/,,https://twitter.com/kathabeck,,,,https://www.linkedin.com/in/katharinabmbeck/,,,,,,,,,,,,,,,,,,,,,,
40,,Carsten Becker,Carsten,Becker,AfD,Facharbeiter,Saarlouis; ledig.,ledig,Saarland,Wahlkreis 297: Saarlouis,https://www.bundestag.de/abgeordnete/biografien/B/becker_carsten-1043590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Desiree Becker,Desiree,Becker,Die Linke,Gewerkschaftssekretärin,St. Wendel; ledig.,ledig,Hessen,Wahlkreis 172: Gießen,https://www.bundestag.de/abgeordnete/biografien/B/becker_desiree-1043592,https://desiree-becker.eu/,https://www.facebook.com/share/1Ar6i7L9cD/?mibextid=wwXIfr,https://www.instagram.com/desireebecker___?igsh=b3dyYmkzbXNzaGt1&utm_source=qr,https://www.tiktok.com/@desiree.becker_dielinke?_t=ZN-8uOzutQW4Ry&_r=1,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Sascha van Beek,Sascha van,Beek,CDU/CSU,Gesundheits- und Krankenpfleger,Geldern; römisch-katholisch; verheiratet; zwei Kinder.,verheiratet,Nordrhein-Westfalen,Wahlkreis 112: Wesel I,https://www.bundestag.de/abgeordnete/biografien/B/beek_sascha-1043614,https://www.saschavanbeek.de,https://www.facebook.com/saschavanbeekniederrhein/,https://www.instagram.com/saschavanbeek/?hl=de,,,,,,https://www.linkedin.com/in/sascha-van-beek-4638b668/,,,,,,,,,,,,,,,,,,,,,,
43,,Jens Behrens,Jens,Behrens,SPD,Bankkaufmann,Erwitte; römisch-katholisch; verheiratet; zwei Kinder.,verheiratet,Nordrhein-Westfalen,Wahlkreis 145: Soest,https://www.bundestag.de/abgeordnete/biografien/B/behrens_jens-1043618,https://www.jens-behrens.de,,https://www.instagram.com/jensbehrenslp,,,,,,,https://www.threads.net/jensbehrenslp,,,,,,,,,,,,,,,,,,,,,
44,,Lukas Benner,Lukas,Benner,Bündnis 90/Die Grünen,Jurist,Aachen.,geschieden,Nordrhein-Westfalen,Wahlkreis 086: Aachen I,https://www.bundestag.de/abgeordnete/biografien/B/benner_lukas-1043648,http://www.lukas-benner.de,http://www.facebook.com/lukasBennerAc,https://www.instagram.com/benner_lukas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Marc Bernhard,Marc,Bernhard,AfD,"Rechtsanwalt, MBA",Reutlingen; geschieden; zwei Kinder.,geschieden,Baden-Württemberg,Wahlkreis 271: Karlsruhe-Stadt,https://www.bundestag.de/abgeordnete/biografien/B/bernhard_marc-1043678,http://www.marcbernhard.de,https://www.facebook.com/MarcBernhardAfD,https://www.instagram.com/marc_bernhard,https://www.tiktok.com/@marcbernhard,https://twitter.com/MarcBernhardAfD,,,,,,https://t.me/MarcBernhard,https://www.youtube.com/c/marcbernhardAfD,,,,,,,,,,,,,,,,,,,
46,,Melanie Bernstein,Melanie,Bernstein,CDU/CSU,Kulturwissenschaftlerin,Buchholz in der Nordheide; evangelisch; verwitwet; zwei Kinder.,geschieden,Schleswig-Holstein,Wahlkreis 008: Segeberg – Stormarn-Mitte,https://www.bundestag.de/abgeordnete/biografien/B/bernstein_melanie-1043686,https://www.melanie-bernstein.de/,https://www.facebook.com/melaniebernstein.cdu/?locale=de_DE,https://www.instagram.com/mela.bernstein/?hl=de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Birgit Bessin,Birgit,Bessin,AfD,,Worms.,geschieden,Brandenburg,Wahlkreis 065: Elbe-Elster – Oberspreewald-Lausitz,https://www.bundestag.de/abgeordnete/biografien/B/bessin_birgit-1048412,https://www.birgit-bessin.com/,https://www.facebook.com/birgitbessin/,https://www.instagram.com/bessin_birgit_afd/,https://www.tiktok.com/@birgit_bessin,https://x.com/BirgitBessin,,,,,,https://t.me/BirgitBessin,,,,,,,,,,,,,,,,,,,,
48,,Daniel Bettermann,Daniel,Bettermann,SPD,Angestellter im öffentlichen Dienst,Warburg; römisch-katholisch; ledig.,ledig,Hessen,Wahlkreis 167: Kassel,https://www.bundestag.de/abgeordnete/biografien/B/bettermann_daniel-1043690,https://www.dabe.de/,https://www.facebook.com/daniel.bettermann,https://www.instagram.com/dabeks1980/,https://www.tiktok.com/@dabeks1980,,,,,https://www.linkedin.com/in/daniel-bettermann/,,,,,,,,,,,,,,,,,,,,,,
49,,Lorenz Gösta Beutin,Lorenz Gösta,Beutin,Die Linke,"Historiker, Angestellter",Hamburg; ledig.,ledig,Schleswig-Holstein,Wahlkreis 001: Flensburg – Schleswig,https://www.bundestag.de/abgeordnete/biografien/B/beutin_lorenz-1043694,https://www.lgbeutin.de,https://www.facebook.com/lgbeutin/,https://www.instagram.com/lgbeutin/,https://tiktok.com/LGBeutin,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Peter Beyer,Peter,Beyer,CDU/CSU,Rechtsanwalt,Ratingen; römisch-katholisch; zwei Kinder.,geschieden,Nordrhein-Westfalen,Wahlkreis 104: Mettmann II,https://www.bundestag.de/abgeordnete/biografien/B/beyer_peter-1043696,http://www.peter-beyer.info,http://www.facebook.com/PeterBeyerMdB,https://www.instagram.com/peterbeyerbundestag,,https://twitter.com/Peter_Beyer,,,,https://de.linkedin.com/in/peter-beyer-279a02188?trk=people-guest_people_search-card,,,,,,,,,,,,,,,,,,,,,,
51,,Marc Biadacz,Marc,Biadacz,CDU/CSU,,Böblingen; römisch-katholisch.,geschieden,Baden-Württemberg,Wahlkreis 260: Böblingen,https://www.bundestag.de/abgeordnete/biografien/B/biadacz_marc-1048416,https://www.marc-biadacz.de/,https://www.facebook.com/MBiadacz/,https://www.instagram.com/marc.biadacz/,,https://twitter.com/MBiadaczMdB,,,,https://linkedin.com/in/marc-biadacz-564915193,,,,,,,,,,,,,,,,,,,,,,
52,,Steffen Bilger,Steffen,Bilger,CDU/CSU,Volljurist,Schongau; evangelisch; verheiratet; drei Kinder.,verheiratet,Baden-Württemberg,Wahlkreis 265: Ludwigsburg,https://www.bundestag.de/abgeordnete/biografien/B/bilger_steffen-1048434,https://www.steffen-bilger.de/,https://www.facebook.com/steffen.bilger.cdu/,https://www.instagram.com/steffen.bilger/,,https://x.com/SteffenBilger,,https://www.youtube.com/user/SteffenBilger,,https://www.linkedin.com/in/steffenbilger/,,,,,,,,,,,,,,,,,,,,,,
53,,Florian Bilic,Florian,Bilic,CDU/CSU,Hauptgeschäftsführer,Pirmasens.,geschieden,Rheinland-Pfalz,Wahlkreis 209: Pirmasens,https://www.bundestag.de/abgeordnete/biografien/B/bilic_florian-1043708,https://florianbilic.de/,https://www.facebook.com/bilic.florian,https://www.instagram.com/bilic.florian/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Dr.,Christoph Birghan,Christoph,Birghan,AfD,Patentanwalt,Berlin; verheiratet; drei Kinder.,verheiratet,Bayern,Wahlkreis 224: Traunstein,https://www.bundestag.de/abgeordnete/biografien/B/birghan_christoph-1043712,https://www.christoph-birghan.de/,https://www.facebook.com/christoph.birghan,https://www.instagram.com/drbirghan,https://www.tiktok.com/@drbirghan,https://www.x.com/drbirghan,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Jakob Blankenburg,Jakob,Blankenburg,SPD,Politikwissenschaftler,Uelzen.,geschieden,Niedersachsen,Wahlkreis 037: Lüchow-Dannenberg – Lüneburg,https://www.bundestag.de/abgeordnete/biografien/B/blankenburg_jakob-1043716,https://jakobblankenburg.de/,https://www.facebook.com/jakobblankenburg.spd,https://www.instagram.com/jakob.blankenburg/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Andreas Bleck,Andreas,Bleck,AfD,,Neuwied; konfessionslos; geschieden.,geschieden,Rheinland-Pfalz,Wahlkreis 196: Neuwied,https://www.bundestag.de/abgeordnete/biografien/B/bleck_andreas-1043722,http://www.andreas-bleck.de/,https://www.facebook.com/AndreasBleckMdB/,https://www.instagram.com/andreasbleckmdb,,https://twitter.com/AndreasBleckMdB,,,,,,https://t.me/andreasbleckmdb,,,,,,,,,,,,,,,,,,,,
57,,Joachim Bloch,Joachim,Bloch,AfD,Rechtsanwalt,Möhringen; römisch-katholisch; ledig.,ledig,Baden-Württemberg,Wahlkreis 285: Rottweil – Tuttlingen,https://www.bundestag.de/abgeordnete/biografien/B/bloch_joachim-1043728,https://www.joachim-bloch.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dr.,Michael Blos,Michael,Blos,AfD,Dipl. Geologe,Karlsruhe; verheiratet; sechs Kinder.,verheiratet,Baden-Württemberg,Wahlkreis 283: Emmendingen – Lahr,https://www.bundestag.de/abgeordnete/biografien/B/blos_michael-1043730,https://www.michael-blos.de,https://www.facebook.com/drblosmichael,,,,,https://youtube.com/@michaelblos,,,,,,,,,,,,,,,,,,,,,,,,
59,,René Bochmann,René,Bochmann,AfD,Bürokaufmann,Markranstädt; zwei Kinder.,geschieden,Sachsen,Wahlkreis 150: Nordsachsen,https://www.bundestag.de/abgeordnete/biografien/B/bochmann_rene-1043736,http://www.rene-bochmann.de,https://www.facebook.com/renebochmannmdb/,https://www.instagram.com/renebochmannafdmdb/,,https://twitter.com/ReneBochmannMdB,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Violetta Bock,Violetta,Bock,Die Linke,Geschäftsführerin,Passau.,geschieden,Hessen,Wahlkreis 167: Kassel,https://www.bundestag.de/abgeordnete/biografien/B/bock_violetta-1043738,https://www.violetta-bock.de,https://https://www.facebook.com/ViolettaBockLinke,https://www.instagram.com/Violetta_Bock/#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
